quote,author,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile
read book everyone else reading think everyone else thinking,Haruki Murakami,0,0,0,0,1,0,0,0,0,0
difference genius stupidity genius limit,Alexandre Dumas fils,0,0,0,0,0,0,0,0,0,0
he like drug bella,Stephenie Meyer,0,0,0,0,0,0,0,0,0,1
friend loyal book,Ernest Hemingway,0,0,0,0,1,0,0,1,0,0
one door happiness close another open often look long closed door see one opened u,Helen Keller,0,1,0,0,0,0,0,0,0,0
life isnt finding life creating,George Bernard Shaw,0,1,1,0,0,0,0,0,0,0
thats problem drinking thought poured drink something bad happens drink attempt forget something good happens drink order celebrate nothing happens drink make something happen,Charles Bukowski,0,0,0,0,0,0,0,0,0,0
’ forget face person last hope,Suzanne Collins,0,0,0,0,0,0,0,0,0,0
remember madly love right kiss anytime feel like,Suzanne Collins,0,0,0,1,0,0,0,0,0,0
love vulnerable love anything heart wrung possibly broken want make sure keeping intact must give one even animal wrap carefully round hobby little luxury avoid entanglement lock safe casket coffin selfishness casket safe dark motionless airless change broken become unbreakable impenetrable irredeemable love vulnerable,C.S. Lewis,1,0,0,0,0,0,0,0,0,0
wander lost,J.R.R. Tolkien,0,0,0,0,0,0,0,0,0,0
pity dead harry pity living live without love,J.K. Rowling,0,0,0,0,0,0,0,0,0,0
nothing writing sit typewriter bleed,Ernest Hemingway,0,0,0,0,0,0,0,0,0,0
finish day done done could blunder absurdity doubt crept forget soon tomorrow new day shall begin serenely high spirit encumbered old nonsense,Ralph Waldo Emerson,0,0,1,0,0,0,0,0,0,0
never let schooling interfere education,Mark Twain,0,0,0,0,0,0,0,0,0,0
heard trouble one kind come ahead come behind ive bought big bat im ready see trouble going trouble,Dr. Seuss,0,0,0,0,0,0,0,0,0,0
flower every time thought youi could walk garden forever,Alfred Tennyson,1,0,0,0,0,0,1,0,0,0
people never go crazy truly horrible life must lead,Charles Bukowski,0,0,0,1,0,0,0,0,0,0
trouble open mind course people insist coming along trying put thing,Terry Pratchett,0,0,0,1,0,0,0,0,0,0
think left think right think low think high oh think think try,Dr. Seuss,0,0,0,1,0,0,0,0,0,0
really knock book youre done reading wish author wrote terrific friend could call phone whenever felt like doesnt happen much though,J.D. Salinger,0,0,0,0,1,1,0,0,0,0
reason talk ’ one whose answer accept,George Carlin,0,0,0,1,0,0,0,0,1,0
may say im dreamer im one hope someday youll join u world live one,John Lennon,0,1,0,0,0,0,0,0,0,0
free prejudice hate everyone equally,W.C. Fields,0,0,0,1,0,0,0,0,0,0
question isnt going let going stop,Ayn Rand,0,0,0,0,0,0,0,0,0,0
′classic′ book people praise dont read,Mark Twain,0,0,0,0,1,1,0,0,0,0
anyone never made mistake never tried anything new,Albert Einstein,0,0,0,0,0,0,0,0,0,0
lady imagination rapid jump admiration love love matrimony moment,Jane Austen,1,0,0,1,0,0,0,0,0,0
remember time come make choice right easy remember happened boy good kind brave strayed across path lord voldemort remember cedric diggory,J.K. Rowling,0,0,0,0,0,0,0,0,0,0
declare enjoyment like reading much sooner one tire thing book house shall miserable excellent library,Jane Austen,0,0,0,0,1,1,0,0,0,0
people really love still fewer think well see world dissatisfied every day confirms belief inconsistency human character little dependence placed appearance merit sense,Jane Austen,0,0,0,0,0,0,0,0,0,0
day old enough start reading fairy tale,C.S. Lewis,0,0,0,0,0,0,0,0,0,0
necessarily doubting god best u wondering painful best turn,C.S. Lewis,0,0,0,0,0,0,0,0,0,0
fear death follows fear life man life fully prepared die time,Mark Twain,0,0,1,0,0,0,0,0,0,0
lie travel half way around world truth putting shoe,Mark Twain,0,0,0,0,0,0,0,0,1,0
believe christianity believe sun risen see see everything else,C.S. Lewis,0,0,0,0,0,0,0,0,0,0
truth dumbledore sighed beautiful terrible thing therefore treated great caution,J.K. Rowling,0,0,0,0,0,0,0,0,1,0
im one thats got die time die let live life way want,Jimi Hendrix,0,0,1,0,0,0,0,0,0,0
die awfully big adventure,J.M. Barrie,1,0,0,0,0,0,0,0,0,0
take courage grow become really,E.E. Cummings,0,0,0,0,0,0,0,0,0,0
better get hurt truth comforted lie,Khaled Hosseini,0,0,1,0,0,0,0,0,0,0
never really understand person consider thing point view climb inside skin walk around,Harper Lee,0,0,0,0,0,0,0,0,0,0
write book want written book difficult grownup write child,Madeleine L'Engle,0,0,0,0,1,0,0,0,0,0
never tell truth people worthy,Mark Twain,0,0,0,0,0,0,0,0,1,0
person person matter small,Dr. Seuss,0,1,0,0,0,0,0,0,0,0
mind need book sword need whetstone keep edge,George R.R. Martin,0,0,0,0,1,0,0,0,0,0
